obs,ID,date_time,lat,lon,elev,DOP,numsats,fixtime,activity,mort_status,main_v,beacon_v,temperature
NA,40746,9/9/2018 8:00,40.42546,-106.07736,NA,1.2,8,41,40,NA,NA,NA,18
NA,40746,9/9/2018 16:00,40.42786,-106.0774,NA,1.1,6,41,30,NA,NA,NA,25
NA,40746,9/10/2018 0:00,40.42782,-106.07791,NA,1.1,6,42,28,NA,NA,NA,6
NA,40746,9/10/2018 8:00,40.42537,-106.07785,NA,1.6,6,41,38,NA,NA,NA,17
NA,40746,9/10/2018 16:00,40.42277,-106.08045,NA,1.4,6,42,38,NA,NA,NA,25
NA,40746,9/11/2018 0:00,41.42132,-106.0798,NA,1.6,6,41,42,NA,NA,NA,7
NA,40746,9/11/2018 8:00,40.42632,-106.07659,NA,7.3,4,42,44,NA,NA,NA,21
NA,40746,9/11/2018 16:00,-40.43342,-106.07839,NA,0.9,8,41,32,NA,NA,NA,25
NA,40746,9/12/2018 0:00,40.42893,-106.09073,NA,0.9,7,41,40,NA,NA,NA,9
NA,40746,9/12/2018 8:00,40.4238,-106.07438,NA,1.9,5,41,34,NA,NA,NA,25
NA,40746,9/12/2018 16:00,40.42227,-105.07339,NA,1.1,6,43,26,NA,NA,NA,27
NA,40746,9/13/2018 0:00,40.42316,-106.07917,NA,1,7,41,64,NA,NA,NA,6
NA,40746,9/13/2018 8:00,40.42267,-106.07938,NA,1.2,7,41,34,NA,NA,NA,21
NA,40746,9/13/2018 16:00,40.42229,-106.07938,NA,1,7,41,28,1,NA,NA,28
NA,40746,9/14/2018 0:00,40.42533,-106.08081,NA,1,7,41,54,NA,NA,NA,3
NA,40746,9/14/2018 16:00,40.42312,-106.07408,NA,1.4,6,38,18,NA,NA,NA,99
NA,40746,9/15/2018 0:00,40.4286,-106.0748,NA,1.2,6,41,32,NA,NA,NA,6
NA,number,9/15/2018 8:00,40.43202,-106.07421,NA,1.2,7,41,32,NA,NA,NA,21
NA,40746,9/15/2018 16:00,40.43336,-106.07653,NA,1.3,6,42,24,NA,NA,NA,26
NA,40746,9/16/2018 0:00,40.4303,-106.08779,NA,1,7,42,38,NA,NA,NA,10
NA,40746,9/16/2018 8:00,40.42992,-106.08684,NA,1.4,6,41,36,NA,NA,NA,23
NA,40747,1/3/2018 8:04,40.44483,-106.13214,NA,1,8,47,76,NA,NA,NA,-11
NA,40747,1/3/2018 16:00,NA,-106.19763,NA,1.1,7,40,12,NA,NA,NA,12
NA,40747,1/4/2018 0:00,40.41584,NA,NA,0.9,9,39,4,NA,NA,NA,1
NA,40747,1/4/2018 8:00,40.41768,-106.19743,NA,1.5,7,38,14,NA,NA,NA,2
NA,40747,1/4/2018 16:00,40.42911,-106.19508,NA,1,8,39,18,yes,NA,NA,13
NA,40747,1/5/2018 0:00,40.41856,-106.19624,NA,0.9,8,39,24,NA,NA,NA,0
NA,40747,1/5/2018 8:00,40.41876,-106.19836,NA,1.5,7,39,18,NA,NA,NA,6
NA,40747,1/5/2018 16:00,40.41954,-106.19876,NA,0.8,9,39,22,NA,NA,NA,13
NA,40747,word,40.41978,-106.19878,NA,0.9,8,39,2,NA,NA,NA,5
NA,40747,1/6/2018 8:00,40.41956,-106.19893,NA,0.9,9,39,2,NA,NA,NA,7
NA,40747,1/6/2018 16:00,40.41969,-106.19873,NA,1.2,6,39,4,NA,NA,NA,13
NA,40747,1/7/2018 0:00,40.41983,-106.19879,NA,1.1,7,39,4,NA,NA,NA,9
NA,40747,1/7/2018 8:00,40.41981,-106.19868,NA,1.8,7,40,4,T,NA,NA,5
NA,40747,1/7/2018 16:00,40.4196,-106.19853,NA,0.8,9,39,4,NA,NA,NA,-25
NA,40747,1/8/2018 0:00,40.4196,-106.19872,NA,0.9,8,39,8,NA,NA,NA,5
NA,40747,1/8/2018 8:00,40.41957,-106.19872,NA,1.3,8,40,4,NA,NA,NA,8
NA,40747,1/8/2018 16:00,40.41971,-106.19869,NA,1.1,6,39,8,NA,NA,NA,19
NA,40747,1/9/2018 0:00,40.41987,-106.19872,NA,0.9,8,40,8,NA,NA,NA,9
NA,40747,1/9/2018 8:00,40.41993,-106.19865,NA,1,8,39,10,NA,NA,NA,9
NA,40747,1/9/2018 16:00,40.41984,-106.19865,NA,1.1,7,39,10,NA,NA,NA,12
